date	direction	O	up_ex	down_ex	entry_time	entry_price	t2_price	t2_level	initial_price	initial_level	initial_tier	variant	initial_reason	primary_reached	primary_time	mfe	mfe_time	mae	mark_1300	initial_touched	touch_time	initial_flipped	flip_time	flip_close	kept_at_flip	primary_after_flip	primary_after_flip_time	post_flip_mae	stop15_hit_before_initial	class	flip_on_entry_bar	initial_dist	initial_share	t2_dist	n_candidates	n_levels	entry_to_1300_bars	retrace_to_initial	retrace_time	worst_flip_to_primary	cf_opp_close_time	cf_opp_close_kept
2026-08-21	DOWN	29469.25	19.25	249.0	09:30	29472.5	29352.75	TDO	29408.62	day_mid	2	frac:0.65|farthest	structural	True	09:35	252.25	10:21	16.0	60.25	True	09:31	True	09:31	29401.5	71.0	True	09:35	-16.0	False	A	False	63.88	0.533	119.75	2	33	209	False		70.25	09:33	95.0
2026-08-24	DOWN	29235.5	8.25	287.75	09:30	29243.75	29116.75	london(cur)_low	29135.8	synthetic_85pct	0	frac:0.65|farthest	synthetic	True	09:31	296.0	09:53	0.0	73.25	True	09:31	True	09:30	29131.75	112.0	True	09:31	19.5	False	A	True	107.95	0.85	127.0	0	35	209	True	09:31	84.25	09:31	93.25
2026-08-25	DOWN	29296.5	119.5	138.75	09:49	29416.0	29164.0	TDO	29220.38	day_mid	2	frac:0.65|farthest	structural	True	10:30	258.25	10:30	0.0	140.5	True	10:23	True	10:23	29214.25	201.75	True	10:30	106.0	False	A	False	195.62	0.776	252.0	5	37	190	True	10:24	164.0	10:24	186.0
2026-08-26	UP	29174.25	159.0	18.0	10:28	29156.25	29265.5	TDO	29231.125	ny_morning(cur)_mid	2	frac:0.65|farthest	structural	True	10:52	136.0	11:50	0.0	60.75	True	10:37	True	10:40	29237.75	81.5	True	10:52	13.75	False	A	False	74.88	0.685	109.25	3	37	151	True	10:41	49.5	10:41	72.0
2026-08-27	UP	29523.75	135.25	99.75	09:57	29424.0	29661.25	london(cur)_high	29603.0	rth(cur)_high	1	frac:0.65|farthest	structural	False		235.0	12:45	0.0	227.5	True	10:27	True	10:27	29611.25	187.25	False		86.75	False	B	False	179.0	0.754	237.25	4	35	182	True	10:28	86.75	10:28	177.5
2026-08-28	UP	29628.0	183.75	163.5	10:13	29505.5	29668.75	TDO	29615.25	day_mid	2	frac:0.65|farthest	structural	True	10:22	306.25	11:01	41.0	-3.5	True	10:19	True	10:20	29618.0	112.5	True	10:22	-41.0	False	A	False	109.75	0.672	163.25	2	35	166	False		111.75	10:23	139.25
2026-08-31	DOWN	29438.25	78.75	84.25	09:31	29517.0	29352.5	TDO	29410.5	day_mid	2	frac:0.65|farthest	structural	False		163.0	10:25	0.0	77.25	True	09:35	True	09:35	29410.0	107.0	False		37.25	False	B	False	106.5	0.647	164.5	3	37	208	True	09:36	37.25	09:36	98.5
2026-09-01	UP	29111.5	205.75	71.5	09:41	29040.0	29486.25	TDO	29311.0	day_mid	2	frac:0.65|farthest	structural	False		277.25	11:49	0.0	151.0	True	11:47	True	11:49	29312.25	272.25	False		90.0	False	B	False	271.0	0.607	446.25	4	37	198	True	11:50	90.0	11:50	264.75
2026-09-02	UP	29098.25	113.5	81.0	09:55	29017.25	29171.25	asia(cur)_high	29117.0	rth(cur)_high	1	frac:0.65|farthest	structural	True	10:21	194.5	10:35	0.0	137.25	True	10:10	True	10:13	29117.25	100.0	True	10:21	89.0	False	A	False	99.75	0.648	154.0	1	37	184	True	10:14	97.25	10:20	132.5
2026-09-03	UP	29249.5	298.5	50.25	09:36	29199.25	29367.0	projection_up	29247.12	week_mid	2	frac:0.65|farthest	structural	True	09:49	348.75	12:58	0.0	328.5	True	09:37	True	09:37	29260.75	61.5	True	09:49	42.25	False	A	False	47.87	0.285	167.75	4	35	203	False		52.5	09:42	136.25
2026-09-04	DOWN	29588.5	103.5	110.75	09:58	29692.0	29571.0	TDO	29602.75	day_mid	2	frac:0.65|farthest	structural	True	10:26	214.25	11:31	0.0	116.25	True	10:12	True	10:19	29601.25	90.75	True	10:26	79.5	False	A	False	89.25	0.738	121.0	2	35	181	True	10:20	79.5	10:21	85.75
2026-09-07	DOWN	29613.75	32.25	50.0	09:33	29646.0	29530.25	asia(cur)_low	29588.5	TDO	2	frac:0.65|farthest	structural	False		82.25	11:27	0.0	41.75	True	11:07	True	11:11	29585.0	61.0	False		31.0	False	B	False	57.5	0.497	115.75	2	37	206	True	11:12	31.0	11:12	55.75
2026-09-08	DOWN	29644.5	42.25	220.0	09:30	29686.75	29478.5	london(cur)_low	29536.0	ny_morning(cur)_low	1	frac:0.65|farthest	structural	True	09:44	262.25	10:11	0.0	114.25	True	09:41	True	09:41	29533.25	153.5	True	09:44	41.75	False	A	False	150.75	0.724	208.25	5	35	209	False		152.25	09:43	187.75
2026-09-09	UP	29455.0	139.0	96.75	09:30	29417.0	29561.75	TDO	29481.25	day_mid	2	frac:0.65|farthest	structural	True	09:59	177.0	10:05	58.75	40.75	True	09:34	True	09:35	29487.0	70.0	True	09:59	-58.75	False	A	False	64.25	0.444	144.75	2	35	209	True	09:36	39.5	09:36	63.75
2026-09-10	UP	29089.5	185.75	31.75	09:33	29057.75	29427.5	TDO	29273.38	day_mid	2	frac:0.65|farthest	structural	False		217.5	10:38	0.0	175.0	True	10:38	False							False	C	False	215.63	0.583	369.75	2	35	206					
2026-09-11	DOWN	29417.75	81.75	83.75	09:59	29475.0	29059.0	TDO	29206.5	ny_morning(cur)_low	1	frac:0.65|farthest	structural	False		141.0	10:48	24.5	38.75	False		False							True	D	False	268.5	0.645	416.0	4	35	180					
2026-09-14	UP	29194.75	381.5	27.25	09:37	29167.5	29311.75	TDO	29264.75	ny_morning(cur)_high	1	frac:0.65|farthest	structural	True	09:48	408.75	12:48	0.0	390.75	True	09:46	True	09:46	29271.25	103.75	True	09:48	79.0	False	A	False	97.25	0.674	144.25	2	37	202	False		102.25	09:50	152.0
2026-09-15	DOWN	29421.0	31.75	205.25	09:45	29452.75	29231.25	london(cur)_low	29365.5	day_mid	2	frac:0.65|farthest	structural	True	10:51	237.0	10:53	0.0	172.5	True	10:10	True	10:10	29364.0	88.75	True	10:51	87.5	False	A	False	87.25	0.394	221.5	4	37	194	False		87.5	10:14	110.0
2026-09-16	UP	29386.75	165.75	13.75	09:36	29373.0	29495.75	prev1_day_high	29477.3375	synthetic_85pct	0	frac:0.65|farthest	synthetic	True	10:59	179.5	11:47	0.0	95.5	True	09:50	True	09:59	29479.0	106.0	True	10:59	45.0	False	A	False	104.34	0.85	122.75	2	37	203	True	10:00	45.0	10:00	102.75
2026-09-17	DOWN	29717.75	35.25	112.0	10:28	29741.25	29460.5	TDO	29557.0	ny_morning(cur)_low	1	frac:0.65|farthest	structural	False		89.25	11:06	11.75	0.5	False		False							False	D	False	184.25	0.656	280.75	3	35	151					
